N° consultation,Client,Date Publication,Intitulé du projet,Date Expiration,epBidMasterId,info,Lien
20250301397,Conseil Régional de Sfax,05/05/2025,10/2025**إحداث ملعب حي ببلدية النور من ولاية صفاقس.,09/06/2025 10:00,86568,info,https://www.tuneps.tn/portail/offres/details/86568/20250301397
20250500177,Commissariat régional de l’éducation de Tataouine,05/05/2025,construction d'une classe preparatoire a l'ecole primaire beni bilel aljadida,06/06/2025 10:00,86567,info,https://www.tuneps.tn/portail/offres/details/86567/20250500177
20250500176,Institut Supérieur des Etudes Touristique de Sidi Dhrif,05/05/2025,etude route,05/05/2025 12:13,86566,info,https://www.tuneps.tn/portail/offres/details/86566/20250500176
20250500175,Commissariat Régional au Développement Agricole de Sfax,05/05/2025,"دراسة إحداث منطقة سقوية على البئر العميقة  ببن سهلون 
من معتمدية عقارب",06/06/2025 09:00,86565,info,https://www.tuneps.tn/portail/offres/details/86565/20250500175
20250500174,Gouvernorat de sousse,05/05/2025,études architecturales et de suivi des travaux de projet de Construction de la direction régionale de la justice à Sousse et du complexe des archives,10/06/2025 10:00,86564,info,https://www.tuneps.tn/portail/offres/details/86564/20250500174
20250500172,Office de la Marine Marchande et des Ports,05/05/2025,ETUDE D’AMENAGEMENT DES ROUTES  AU PORT DE GABES,17/06/2025 10:00,86561,info,https://www.tuneps.tn/portail/offres/details/86561/20250500172
20250500161,Institut Mohamed Kassab d’Orthopédie à Ksar Saïd,05/05/2025,Appel d’offre N°07/2025 « imprimés»,06/06/2025 10:00,86536,info,https://www.tuneps.tn/portail/offres/details/86536/20250500161
20250500170,Institut National Agronomique de Tunis,05/05/2025,تهيئة مسالك,12/06/2025 11:40,86557,info,https://www.tuneps.tn/portail/offres/details/86557/20250500170
20250500168,Le Conseil régional Zaghouan,05/05/2025,أشغال تهيئة القسط الأول وبناء القسط الثانى لقاعة العروض ببئر مشارقة,04/06/2025 10:00,86547,info,https://www.tuneps.tn/portail/offres/details/86547/20250500168
20250500167,Commissariat régional de l’éducation de Mahdia,05/05/2025,Réaménagement et maintenance de l'école primaire Oued Guelet  sidi aloune,04/06/2025 09:00,86546,info,https://www.tuneps.tn/portail/offres/details/86546/20250500167
20250500166,Conseil Régional de Sfax,05/05/2025,15/2025**أشغال تعبيد المسالك الريفية بولاية صفاقس ضمن البرنامج الجهوي للتنمية,05/06/2025 10:00,86545,info,https://www.tuneps.tn/portail/offres/details/86545/20250500166
20250500165,Institut National Agronomique de Tunis,05/05/2025,تهيئة مخبر الصناعات الغذائية و تحليل اللحوم,06/06/2025 10:01,86543,info,https://www.tuneps.tn/portail/offres/details/86543/20250500165
20250500159,Conseil regional de ben  arous,05/05/2025,"مشروع اتمام أشغال تهيئة وتوسعة الجناح ""ج"" بالسجن المدني بمرناق ( القسط الأول )",09/06/2025 10:00,86541,info,https://www.tuneps.tn/portail/offres/details/86541/20250500159
